Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission,name_key,birth_year,Country,Gender_iad,Total Flights,total_flight_days,is_military,ug_discipline,pathway
Brent W. Jett,1992.0,14.0,Retired,10/5/1958,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0.0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,,brent w jett,1958,United States,Man,4.0,41.75069444444444,True,engineering,Military
Gregory C. Johnson,1998.0,17.0,Management,7/30/1954,"Seattle, WA",Male,University of Washington,Aerospace Engineering,,Captain,US Navy (Retired),1,309,0,0.0,STS-125 (Atlantis),,,gregory c johnson,1954,United States,Man,1.0,12.900694444444445,True,engineering,Military
Gregory H. Johnson,1998.0,17.0,Active,5/12/1962,"London, England",Male,US Air Force Academy; Columbia University; University of Texas,Aeronautical Engineering,Flight Structures Engineering; Business Administration,Colonel,US Air Force (Retired),2,755,0,0.0,"STS-123 (Endeavor), STS-134 (Endeavor)",,,gregory h johnson,1962,United States,Man,2.0,31.493055555555557,True,engineering,Military
Thomas D. Jones,1990.0,13.0,Retired,1/22/1955,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,,Planetary Science,,,4,1272,3,20.0,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,,thomas d jones,1955,United States,Man,4.0,53.03402777777777,False,other/unknown,Academic
Janet L. Kavandi,1995.0,15.0,Management,7/17/1959,"Springfield, MO",Female,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,,,3,812,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,,janet l kavandi,1959,United States,Woman,3.0,33.83819444444445,False,physical_sciences,Academic
James M. Kelly,1996.0,16.0,Management,5/14/1964,"Burlington, IA",Male,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,641,0,0.0,"STS-102 (Discovery), STS-114 (Discovery)",,,james m kelly,1964,United States,Man,2.0,26.724305555555556,True,engineering,Military
Mark E. Kelly,1996.0,16.0,Retired,2/21/1964,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,Captain,US Navy (Retired),4,1298,0,0.0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,,mark e kelly,1964,,,,,True,engineering,Military
Scott J. Kelly,1996.0,16.0,Active,2/21/1964,"Orange, NJ",Male,State University of New York Maritime College; University of Tennessee-Knoxville,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),4,12490,3,18.0,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,,scott j kelly,1964,,,,,True,engineering,Military
Joseph P. Kerwin,1965.0,4.0,Retired,2/19/1932,"Oak Park, IL",Male,College of the Holy Cross; Northwestern University,Philosophy,Medicine,Captain,US Navy (Retired),1,672,1,3.0,Skylab 2,,,joseph p kerwin,1932,,,,,True,other/unknown,Military
Susan L. Kilrain (Still),1995.0,15.0,Retired,10/24/1961,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute of Technology,Astronautical Engineering,Aerospace Engineering,Commander,US Navy (Retired),2,472,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,,susan l kilrain (still),1961,,,,,True,engineering,Military
Robert Shane Kimbrough,2004.0,19.0,Active,6/4/1967,"Killeen, TX",Male,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,Colonel,US Army,3,3720,4,25.0,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,,robert shane kimbrough,1967,,,,,True,engineering,Military
Timothy L. Kopra,2000.0,18.0,Active,4/9/1963,"Austin, TX",Male,US Military Academy; Georgia Institute of Technology; US Army War College,Computer Science,Aerospace Engineering; Strategic Studies,Colonel,US Army (Retired),2,5857,3,13.0,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",,,timothy l kopra,1963,United States,Man,2.0,244.0423611111111,True,other/unknown,Military
Kevin R. Kregel,1992.0,14.0,Retired,9/16/1956,"New York, NY",Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,,,4,1265,0,0.0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,,kevin r kregel,1956,,,,,False,engineering,Academic
Wendy B. Lawrence,1992.0,14.0,Retired,7/2/1959,"Jacksonville, FL",Female,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,Captain,US Navy (Retired),4,1223,0,0.0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,,wendy b lawrence,1959,,,,,True,engineering,Military
Mark C. Lee,1984.0,10.0,Retired,8/14/1952,"Viroqua, WI",Male,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,789,4,26.0,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,,mark c lee,1952,United States,Man,4.0,32.91180555555555,True,engineering,Military
David C. Leestma,1980.0,9.0,Management,5/6/1949,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3.0,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,,david c leestma,1949,,,,,True,engineering,Military
William B. Lenoir,1967.0,6.0,Deceased,3/14/1939,"Miami, FL",Male,MIT,Electrical Engineering,Electrical Engineering,,,1,122,0,0.0,STS-5 (Columbia),8/26/2012,,william b lenoir,1939,United States,Man,1.0,5.093055555555556,False,engineering,Academic
Fred W. Leslie,,,Retired,12/19/1951,"Ancon, Panama",Male,University of Texas; University of Oklahoma,Engineering Science,Meteorology,,,1,381,0,0.0,STS-73 (Columbia),,,fred w leslie,1951,,,,,False,engineering,Academic
Byron K. Lichtenberg,,,Retired,2/19/1948,"Stroudsburg, PA",Male,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,,,2,461,0,0.0,"STS-9 (Columbia), STS-45 (Atlantis)",,,byron k lichtenberg,1948,,,,,False,engineering,Academic
Don L. Lind,1966.0,5.0,Retired,5/18/1930,"Midvale, UT",Male,University of Utah; University of California-Berkley,Physics,Nuclear Physics,,,1,168,0,0.0,STS 51-B (Challenger),,,don l lind,1930,,,,,False,physical_sciences,Academic
Kjell N. Lindgren,2009.0,20.0,Active,1/23/1973,"Taipei, Taiwan",Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,,,1,3400,2,15.0,ISS-44/45 (Soyuz),,,kjell n lindgren,1973,United States,Man,1.0,141.67291666666668,False,life_sciences,Academic
Steven W. Lindsey,1995.0,15.0,Retired,8/24/1960,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0.0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,,steven w lindsey,1960,,,,,True,engineering,Military
Jerry M. Linenger,1992.0,14.0,Retired,1/16/1955,"Mount Clemens, MI",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,Captain,US Navy (Retired),2,3435,1,5.0,"STS-64 (Discovery), STS-81/84 (Atlantis)",,,jerry m linenger,1955,,,,,True,life_sciences,Military
Richard M. Linnehan,1992.0,14.0,Management,9/19/1957,"Lowell, MA",Male,University of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,,,4,1427,6,43.0,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",,,richard m linnehan,1957,,,,,False,other/unknown,Academic
Gregory T. Linteris,,,Retired,10/4/1957,"Demarest, NJ",Male,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace Engineering,,,2,471,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,,gregory t linteris,1957,,,,,False,engineering,Academic
John A. Llewellyn,1967.0,6.0,Retired,4/22/1933,"Cardiff, Wales",Male,University College at Cardiff,Chemistry,Chemistry,,,0,0,0,0.0,,,,john a llewellyn,1933,,,,,False,physical_sciences,Academic
Paul S. Lockhart,1996.0,16.0,Retired,4/28/1956,"Amarillo, TX",Male,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,663,0,0.0,"STS-111 (Endeavor), STS-113 (Endeavor)",,,paul s lockhart,1956,,,,,True,math,Military
Michael E. Lopez-Alegria,1992.0,14.0,Retired,5/30/1958,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,6190,10,67.0,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)",,,michael e lopez-alegria,1958,,,,,True,engineering,Military
Christopher J. Loria,1996.0,16.0,Retired,7/9/1960,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,Colonel,US Marine Corps (Retired),0,0,0,0.0,,,,christopher j loria,1960,,,,,True,engineering,Military
J. Mike Lounge,1980.0,9.0,Deceased,6/28/1946,"Denver, CO",Male,US Naval Academy; University of Colorado,Mathematics & Physics,Astrogeophysics,,,3,483,0,0.0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",3/1/2011,,j mike lounge,1946,,,,,False,physical_sciences,Academic
Jack R. Lousma,1966.0,5.0,Retired,2/29/1936,"Grand Rapids, MI",Male,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),2,1619,2,11.0,"Skylab 3, STS-3 (Columbia)",,,jack r lousma,1936,,,,,True,engineering,Military
Stanley G. Love,1998.0,17.0,Management,6/8/1965,"San Diego, CA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,,1,306,2,15.0,STS-122 (Atlantis),,,stanley g love,1965,United States,Man,1.0,12.765277777777778,False,physical_sciences,Academic
James A. Lovell Jr. ,1962.0,2.0,Retired,3/25/1928,"Cleveland, OH",Male,US Naval Academy,,,Captain,US Navy (Retired),4,715,0,0.0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,,james a lovell,1928,,,,,True,other/unknown,Military
G. David Low,1984.0,10.0,Deceased,2/19/1956,"Cleveland, OH",Male,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,,,3,714,1,6.0,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",3/15/2008,,g david low,1956,United States,Man,3.0,29.75486111111111,False,engineering,Academic
Edward T. Lu,1995.0,15.0,Retired,7/1/1963,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,,,3,4962,1,6.0,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,,edward t lu,1963,,,,,False,engineering,Academic
Shannon W. Lucid,1978.0,8.0,Retired,1/14/1943,"Shanghai, China",Female,University of Oklahoma,Chemistry,Biochemistry,,,5,5354,0,0.0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,,shannon w lucid,1943,,,,,False,physical_sciences,Academic
Sandra H. Magnus,1996.0,16.0,Retired,10/30/1964,"Belleville, IL",Female,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,,,3,3776,0,0.0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,,sandra h magnus,1964,,,,,False,physical_sciences,Academic
Thomas H. Marshburn,2004.0,19.0,Active,8/29/1960,"Statesville, NC",Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,Physics,Engineering Physics; Medicine; Medical Science,,,2,3871,4,24.0,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,,thomas h marshburn,1960,,,,,False,physical_sciences,Academic
Michael J. Massimino,1996.0,16.0,Management,8/19/1962,"Oceanside, NY",Male,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,,,2,571,4,30.0,"STS-109 (Columbia), STS-125 (Atlantis)",,,michael j massimino,1962,,,,,False,engineering,Academic
Richard A. Mastracchio,1996.0,16.0,Active,2/11/1960,"Waterbury, CT",Male,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,,,4,5461,9,53.0,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)",,,richard a mastracchio,1960,,,,,False,engineering,Academic
Thomas K. Mattingly II ,1966.0,5.0,Retired,3/17/1936,"Chicago, IL",Male,Auburn University,Aeronautical Engineering,,Rear Admiral,US Navy (Retired),3,508,1,1.0,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",,,thomas k mattingly ii,1936,,,,,True,engineering,Military
K. Megan McArthur,2000.0,18.0,Active,8/30/1971,"Honolulu, HI",Female,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,,,1,309,0,0.0,STS-125 (Atlantis),,,k megan mcarthur,1971,United States,Woman,2.0,1624.115277777778,False,engineering,Academic
William S. McArthur Jr. ,1990.0,3.0,Management,7/26/1951,"Laurinburg, NC",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army (Retired),4,5398,4,24.0,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,,william s mcarthur,1951,United States,Man,4.0,224.9298611111111,True,engineering,Military
S. Christa McAuliffe,,,Deceased,9/2/1948,"Boston, MA",Female,Framingham State College; Bowie State College,Education,Education,,,1,0,0,0.0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger),s christa mcauliffe,1948,United States,Woman,1.0,0.0006944444444444445,False,other/unknown,Academic
Jon A. McBride,1978.0,8.0,Retired,8/14/1943,"Charleston, WV",Male,US Naval Postgraduate School,Aeronautical Engineering,,Captain,US Navy (Retired),1,197,0,0.0,STS 41-G (Challenger),,,jon a mcbride,1943,,,,,True,engineering,Military
Bruce McCandless II ,1966.0,5.0,Retired,6/8/1937,"Boston, MA",Male,US Naval Academy; Stanford University; University of Houston-Clear Lake,,Electrical Engineering; Business Administration,Captain,US Navy (Retired),2,312,2,12.0,"STS 41-B (Challenger), STS-31 (Discovery)",,,bruce mccandless ii,1937,United States,Man,2.0,13.022222222222224,True,other/unknown,Military
William C. McCool,1996.0,16.0,Deceased,9/23/1961,"San Diego, CA",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0.0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia),william c mccool,1961,United States,Man,1.0,15.930555555555555,True,other/unknown,Military
Michael J. McCulley,1984.0,10.0,Retired,8/4/1943,"San Diego, CA",Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0.0,STS-34 (Atlantis),,,michael j mcculley,1943,United States,Man,1.0,4.985416666666667,True,engineering,Military
James A. McDivitt,1984.0,2.0,Retired,6/10/1929,"Chicago, IL",Male,University of Michigan,Astronautical Engineering,,Brigadier General,US Air Force (Retired),2,338,0,0.0,"Gemini 4, Apollo 9",,,james a mcdivitt,1929,,,,,True,engineering,Military
Donald R. McMonagle,1987.0,12.0,Retired,5/14/1952,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),3,605,0,0.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,,donald r mcmonagle,1952,,,,,True,engineering,Military
Ronald E. McNair,1978.0,8.0,Deceased,10/21/1950,"Lake City, SC",Male,North Carolina A&T State College; MIT,Physics,Physics,,,2,191,0,0.0,"STS 41-B (Challenger), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger),ronald e mcnair,1950,,,,,False,physical_sciences,Academic
Carl J. Meade,1985.0,11.0,Retired,11/16/1950,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6.0,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,,carl j meade,1950,,,,,True,engineering,Military
Bruce E. Melnick,1987.0,12.0,Retired,12/5/1949,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0.0,"STS-41 (Discovery), STS-49 (Endeavor)",,,bruce e melnick,1949,,,,,True,engineering,Military
Pamela A. Melroy,1995.0,15.0,Retired,9/17/1961,"Palo Alto, CA",Female,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,Colonel,US Air Force (Retired),3,914,0,0.0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,,pamela a melroy,1961,,,,,True,physical_sciences,Military
Leland D. Melvin,1998.0,17.0,Management,2/15/1964,"Lynchburg, VA",Male,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,,,2,565,0,0.0,"STS-122 (Atlantis), STS-129 (Atlantis)",,,leland d melvin,1964,United States,Man,2.0,23.568055555555556,False,physical_sciences,Academic
Dorothy M. Metcalf-Lindenberger,2004.0,19.0,Active,5/2/1975,"Colorado Springs, CO",Female,Whitman College,Geology,,,,1,362,0,0.0,STS-131 (Discovery),,,dorothy m metcalf-lindenberger,1975,,,,,False,other/unknown,Academic
F. Curtis Michel,1965.0,4.0,Retired,6/5/1934,"LaCrosse, WI",Male,California Institute of Technology,Physics,Physics,,,0,0,0,0.0,,,,f curtis michel,1934,,,,,False,physical_sciences,Academic
Edgar D. Mitchell,1966.0,5.0,Retired,9/17/1930,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),1,216,2,9.0,Apollo 14,,,edgar d mitchell,1930,,,,,True,other/unknown,Military
Barbara R. Morgan,1998.0,17.0,Retired,11/28/1951,"Fresno, CA",Female,Stanford University,Human Biology,,,,1,305,0,0.0,STS-118 (Endeavor),,,barbara r morgan,1951,,,,,False,life_sciences,Academic
Lee M. Morin,1996.0,16.0,Management,9/9/1952,"Manchester, NH",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,Captain,US Navy,1,259,2,14.0,STS-110 (Atlantis),,,lee m morin,1952,,,,,True,math,Military
Richard M. Mullane,1978.0,8.0,Retired,9/10/1945,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),3,356,0,0.0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,,richard m mullane,1945,,,,,True,engineering,Military
Story Musgrave,1967.0,6.0,Retired,8/19/1935,"Boston, MA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,,,6,1281,4,26.0,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,,story musgrave,1935,,,,,False,physical_sciences,Academic
Steven R. Nagel,1978.0,8.0,Retired,10/27/1946,"Canton, IL",Male,University of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0.0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,,steven r nagel,1946,United States,Man,4.0,30.066666666666666,True,engineering,Military
Bill Nelson,,,Retired,9/29/1942,"Miami, FL",Male,Yale University; University of Virginia,,Law,Captain,US Army (Retired),1,146,0,0.0,STS 61-C (Columbia),,,bill nelson,1942,,,,,True,other/unknown,Military
George D. Nelson,1978.0,8.0,Retired,7/13/1950,"Charles City, IA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,,3,411,2,10.0,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,,george d nelson,1950,,,,,False,physical_sciences,Academic
James H. Newman,1990.0,13.0,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,,,4,1042,6,43.0,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,,james h newman,1956,United States,Man,4.0,43.42291666666667,False,physical_sciences,Academic
Carlos I. Noriega,1995.0,15.0,Retired,10/8/1959,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19.0,"STS-84 (Atlantis), STS-97 (Endeavor)",,,carlos i noriega,1959,Peru,Man,2.0,20.011805555555558,True,other/unknown,Military
Lisa M. Nowak,1996.0,16.0,Retired,5/10/1963,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,306,0,0.0,STS-121 (Discovery),,,lisa m nowak,1963,,,,,True,engineering,Military
Karen L. Nyberg,2000.0,18.0,Active,10/7/1969,"Parker¡¯s Prairie, MN",Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,,,2,4320,0,0.0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,,karen l nyberg,1969,,,,,False,engineering,Academic
Bryan D. O'Connor,1980.0,9.0,Retired,9/6/1946,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0.0,"STS 61-B (Atlantis), STS-40 (Columbia)",,,bryan d o connor,1946,,,,,True,engineering,Military
Brian T. O'Leary,1967.0,6.0,Deceased,1/27/1940,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,,,0,0,0,0.0,,7/28/2011,,brian t o leary,1940,,,,,False,physical_sciences,Academic
Ellen Ochoa,1990.0,13.0,Management,5/10/1958,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,,,4,979,0,0.0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,,ellen ochoa,1958,United States,Woman,4.0,40.65138888888889,False,physical_sciences,Academic
William A. Oefelein,1998.0,17.0,Retired,3/29/1965,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,Commander,US Navy (Retired),1,308,0,0.0,STS-116 (Discovery),,,william a oefelein,1965,,,,,True,engineering,Military
John D. Olivas,1998.0,17.0,Retired,5/25/1966,"North Hollywood, CA",Male,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,,,2,665,5,34.0,"STS-117 (Atlantis), STS-128 (Discovery)",,,john d olivas,1966,United States,Man,2.0,27.711805555555557,False,engineering,Academic
Ellison S. Onizuka,1978.0,8.0,Deceased,6/24/1946,"Kealakekua, HI",Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,Lieutenant Colonel,US Air Force,2,73,0,0.0,"STS 51-C (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger),ellison s onizuka,1946,,,,,True,engineering,Military
Stephen S. Oswald,1985.0,11.0,Retired,6/30/1951,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,,,,3,814,0,0.0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,,stephen s oswald,1951,,,,,False,engineering,Academic
Robert F. Overmyer,1969.0,7.0,Deceased,7/14/1936,"Lorain, OH",Male,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,Colonel,US Marine Corps (Retired),2,290,0,0.0,"STS-5 (Columbia), STS 51-B (Challenger)",3/22/1996,,robert f overmyer,1936,,,,,True,physical_sciences,Military
William A. Pailes,,,Retired,6/26/1952,"Hackensack, NJ",Male,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Colonel,US Air Force (Retired),1,97,0,0.0,STS 51-J (Atlantis),,,william a pailes,1952,,,,,True,other/unknown,Military
Scott E. Parazynski,1992.0,14.0,Retired,7/28/1961,"Little Rock, AR",Male,Stanford University,Biology,Medicine,,,5,1404,7,47.0,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",,,scott e parazynski,1961,,,,,False,life_sciences,Academic
Ronald A. Parise,,,Deceased,5/24/1951,"Warren, OH",Male,Youngstown State University; University of Florida,Physics,Astronomy,,,2,614,0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",5/9/2008,,ronald a parise,1951,United States,Man,2.0,25.592361111111114,False,physical_sciences,Academic
Robert A. Parker,1967.0,6.0,Retired,12/14/1936,"New York, NY",Male,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,,,2,462,0,0.0,"STS-9 (Columbia), STS-35 (Columbia)",,,robert a parker,1936,,,,,False,physical_sciences,Academic
Niclolas J. M. Patrick,1998.0,17.0,Retired,3/22/1964,"North Yorkshire, England",Male,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,,,2,638,3,18.0,"STS-116 (Discovery), STS-130 (Endeavor)",,,niclolas j m patrick,1964,,,,,False,engineering,Academic
James A. Pawelczyk,,,Retired,9/20/1960,"Buffalo, NY",Male,University of Rochester; Pennsylvania State University; University of North Texas,Biology & Psychology,Physiology; Biology,,,1,381,0,0.0,STS-90 (Columbia),,,james a pawelczyk,1960,,,,,False,life_sciences,Academic
Gary E. Payton,,,Retired,6/20/1948,"Rock Island, IL",Male,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,Major,US Air Force,1,73,0,0.0,STS 51-C (Discovery),,,gary e payton,1948,,,,,True,engineering,Military
Donald H. Peterson,1969.0,7.0,Retired,10/22/1933,"Winona, MS",Male,US Military Academy; US Air Force Institute of Technology,,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4.0,STS-6 (Challenger),,,donald h peterson,1933,,,,,True,other/unknown,Military
Donald R. Pettit,1996.0,16.0,Active,4/20/1955,"Silverton, OR",Male,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,,,3,8872,2,13.0,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,,donald r pettit,1955,,,,,False,engineering,Academic
John L. Phillips,1996.0,16.0,Retired,4/15/1951,"Ft. Belvoir, VA",Male,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Captain,US Naval Reserves (Retired),3,4880,1,5.0,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",,,john l phillips,1951,,,,,True,math,Military
William R. Pogue,1966.0,5.0,Retired,1/23/1930,"Okemah, OK",Male,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,Colonel,US Air Force (Retired),1,2017,2,13.0,Skylab 4,,,william r pogue,1930,,,,,True,other/unknown,Military
